"nr";"professorType";"researchInterest";"headOf"
205023;"assistantProfessor";"precipitant ";0
205031;"fullProfessor";"groats ";0
205032;"associateProfessor";"grippes ";0
205033;"assistantProfessor";"egises honeys stagehands ";0
205041;"fullProfessor";"salespersons counterattacked snapped ";0
205042;"associateProfessor";"sulphas outrooted cakewalk ";0
205043;"assistantProfessor";"brakeage ";0
205051;"fullProfessor";"slipcover psychoneuroses milldam ";0
205052;"associateProfessor";"pavements barrio clamour ";0
205053;"assistantProfessor";"assuagements choicely overfatigued ";0
205061;"fullProfessor";"federacy playfulness starches ";0
205062;"associateProfessor";"tales condescending ";0
205063;"assistantProfessor";"eternizing policies ";0
205071;"fullProfessor";"belting ";0
205072;"associateProfessor";"airways baffling ";0
205073;"assistantProfessor";"gaudiest anoxia ";0
205081;"fullProfessor";"taillights ";205
205082;"associateProfessor";"passionless andante ";0
205083;"assistantProfessor";"cogitative ";0
205091;"fullProfessor";"precancelled highlights nonviolently ";0
205092;"associateProfessor";"nutations foreclosures ";0
205102;"associateProfessor";"shikses trances ";0
206001;"fullProfessor";"refractiveness teatime ";0
206002;"associateProfessor";"circlers payably ";0
206003;"assistantProfessor";"outwait nurseries racker ";0
206011;"fullProfessor";"tepidity ";206
206012;"associateProfessor";"tussocky mucks ";0
206013;"assistantProfessor";"pallbearers ";0
206021;"fullProfessor";"jobs outflanking ";0
206022;"associateProfessor";"reconfirmed ";0
206023;"assistantProfessor";"unarticulate periodontitis tuckering ";0
206031;"fullProfessor";"loudspeakers divining stippling ";0
206032;"associateProfessor";"foredid unreeler shoots ";0
206033;"assistantProfessor";"dustily viscid scoldings ";0
206041;"fullProfessor";"shakos flabbiness ";0
206042;"associateProfessor";"interferometry ";0
206043;"assistantProfessor";"reinform millpond ";0
206051;"fullProfessor";"umlauted finalizations shushed ";0
206052;"associateProfessor";"communalize ";0
206053;"assistantProfessor";"spavined elucidates ";0
206061;"fullProfessor";"pancaked nonhabituating goggly ";0
206062;"associateProfessor";"reappraises sestines ";0
206063;"assistantProfessor";"recrystallizing villainies ";0
206071;"fullProfessor";"reconsolidated packable ";0
206072;"associateProfessor";"confuted rarity suasively ";0
206073;"assistantProfessor";"resupplied cushy heliotropism ";0
206082;"associateProfessor";"versions compounder ";0
206092;"associateProfessor";"aggregation wobbled snakiest ";0
206102;"associateProfessor";"blushed bolloxes ";0
206112;"associateProfessor";"moonsets demander ";0
207001;"fullProfessor";"pullovers towheaded ";0
207002;"associateProfessor";"starriest meerschaums ";0
207003;"assistantProfessor";"hortative plinked ";0
207011;"fullProfessor";"concisely witling ";0
207012;"associateProfessor";"expositions waives galled ";0
207013;"assistantProfessor";"coursings ";0
207021;"fullProfessor";"slitless ";207
207022;"associateProfessor";"enumerated ";0
207023;"assistantProfessor";"fakirs deflators ";0
207031;"fullProfessor";"superseded deathlessly ";0
207032;"associateProfessor";"frivolled dynamoscope recourses ";0
207033;"assistantProfessor";"redried destructiveness railways ";0
207041;"fullProfessor";"sparkles ";0
207042;"associateProfessor";"drawable sigher molecules ";0
207043;"assistantProfessor";"guttering dailies ";0
207051;"fullProfessor";"delegacies ";0
207052;"associateProfessor";"clavichord ";0
207053;"assistantProfessor";"defacto scarletina hasping ";0
207061;"fullProfessor";"restring grumpiest screeching ";0
207062;"associateProfessor";"altercations vivisect ";0
207063;"assistantProfessor";"dryer underfed overkills ";0
207071;"fullProfessor";"capriccio mazel ";0
207072;"associateProfessor";"daybooks ";0
207073;"assistantProfessor";"gloomings peasants ";0
207081;"fullProfessor";"congregant coexistence pasteurizes ";0
207082;"associateProfessor";"pleaters ";0
207083;"assistantProfessor";"democratization irascibility intermeshed ";0
207091;"fullProfessor";"rerecord clamped ";0
207092;"associateProfessor";"yep ";0
207093;"assistantProfessor";"genitives ";0
207103;"assistantProfessor";"brooked whiptails inkless ";0
208001;"fullProfessor";"misfortunes islanding ";0
208002;"associateProfessor";"gentiles supervise fresher ";0
208003;"assistantProfessor";"unrip ";0
208011;"fullProfessor";"mornings ";208
208012;"associateProfessor";"mediacy wounding razored ";0
208013;"assistantProfessor";"sidlers ";0
208021;"fullProfessor";"appertained tallness nudging ";0
208022;"associateProfessor";"contortionistic droved unfelt ";0
208023;"assistantProfessor";"araks pustule kickoffs ";0
208031;"fullProfessor";"suboffices cozened hefted ";0
208032;"associateProfessor";"expectancy generalized ";0
208033;"assistantProfessor";"incendiarism ";0
208041;"fullProfessor";"sermonizing ";0
208042;"associateProfessor";"porting infuses angerly ";0
208043;"assistantProfessor";"surchargers ";0
208051;"fullProfessor";"ornamentations caliphs ";0
208052;"associateProfessor";"adventuresome engirdling dapperer ";0
208053;"assistantProfessor";"protrusile seemlier ";0
208061;"fullProfessor";"gladiola avascular scone ";0
208062;"associateProfessor";"swelling confusedly ";0
208063;"assistantProfessor";"daydreaming unusual imperviously ";0
208071;"fullProfessor";"heparin ";0
208072;"associateProfessor";"atropins flaunter ";0
208073;"assistantProfessor";"goths ebullience streamlet ";0
208081;"fullProfessor";"batting ";0
208082;"associateProfessor";"cockspurs promulgations ";0
208083;"assistantProfessor";"grinder chequers eclecticism ";0
208091;"fullProfessor";"reamers bazars reconsolidation ";0
208092;"associateProfessor";"celestially archangelic tractions ";0
208093;"assistantProfessor";"peres subdivisible glomming ";0
208102;"associateProfessor";"diagonally fragility stingray ";0
208103;"assistantProfessor";"sunbird diminished rearward ";0
208112;"associateProfessor";"loneliest ";0
209001;"fullProfessor";"cooties teamsters ";209
209002;"associateProfessor";"internalizing siphon remonstrates ";0
209003;"assistantProfessor";"unscrewing awakens budgeting ";0
209011;"fullProfessor";"cavities ";0
209012;"associateProfessor";"unclouding currie ";0
209013;"assistantProfessor";"foregather chastener paychecks ";0
209021;"fullProfessor";"neonates lived misguidedly ";0
209022;"associateProfessor";"newtons containerization varlets ";0
209023;"assistantProfessor";"manholes ";0
209031;"fullProfessor";"hyperbarically fissioned railings ";0
209032;"associateProfessor";"moving recreates jackdaws ";0
209033;"assistantProfessor";"barytone enouncing ";0
209041;"fullProfessor";"defamer pelters ";0
209042;"associateProfessor";"toucher alfalfas ";0
209043;"assistantProfessor";"provincialism strengthens ";0
209051;"fullProfessor";"whalings editorializes ";0
209052;"associateProfessor";"marrowing rambling ";0
209053;"assistantProfessor";"punching ";0
209061;"fullProfessor";"aphotic discharges ";0
209062;"associateProfessor";"antienvironmentalist rickrack ";0
209063;"assistantProfessor";"trembliest ";0
209071;"fullProfessor";"warranter ";0
209072;"associateProfessor";"deciduousness asthmatic ";0
209073;"assistantProfessor";"dandelions ";0
209082;"associateProfessor";"typifying motorbike ";0
209083;"assistantProfessor";"gibing dehypnotizing discourtesies ";0
209092;"associateProfessor";"hype ";0
209093;"assistantProfessor";"oculars threesomes tenser ";0
210001;"fullProfessor";"synthesizing reapplying rebuttoning ";0
210002;"associateProfessor";"piroghi hummocks quittances ";0
210003;"assistantProfessor";"concluders provisionally gestural ";0
210011;"fullProfessor";"recrudesce wheedling expatriate ";210
210012;"associateProfessor";"overwise chaoses ";0
210013;"assistantProfessor";"idolizers ";0
210021;"fullProfessor";"integuments unevenness niggles ";0
210022;"associateProfessor";"nestles excels ";0
210023;"assistantProfessor";"flusher ";0
210031;"fullProfessor";"testings forbiddance buenas ";0
210032;"associateProfessor";"acetylcholine ventriloquy ";0
210033;"assistantProfessor";"operculated jobbers ";0
210041;"fullProfessor";"frumps ";0
210042;"associateProfessor";"squirming ";0
210043;"assistantProfessor";"decolonizes outvoting ";0
210051;"fullProfessor";"fondler dyspeptical capstones ";0
210052;"associateProfessor";"unexceptional ";0
210053;"assistantProfessor";"millpond ";0
210061;"fullProfessor";"obscures uncommoner trollying ";0
210062;"associateProfessor";"hemophiliac reshapers mephitic ";0
210063;"assistantProfessor";"incorporatedness useable ";0
210071;"fullProfessor";"samurais unsteadiest ";0
210072;"associateProfessor";"interfering concelebration smacker ";0
210073;"assistantProfessor";"bewared ";0
210082;"associateProfessor";"dropkicker spinals ";0
210083;"assistantProfessor";"demounts sledder ";0
210092;"associateProfessor";"collimation naturalized ";0
210093;"assistantProfessor";"elderly tyred ";0
210103;"assistantProfessor";"secondines scandinavian payrolls ";0
211001;"fullProfessor";"finals ";0
211002;"associateProfessor";"staffers onanist ";0
211003;"assistantProfessor";"sedation ";0
211011;"fullProfessor";"overassessment ";0
211012;"associateProfessor";"picturesqueness heelposts ";0
211013;"assistantProfessor";"presanctified ";0
211021;"fullProfessor";"expecters rearguing ";0
211022;"associateProfessor";"occultly disembowelling ";0
211023;"assistantProfessor";"demonstrator ";0
211031;"fullProfessor";"praising ";0
211032;"associateProfessor";"preheats ";0
211033;"assistantProfessor";"tonsils outdone nonreciprocals ";0
211041;"fullProfessor";"regattas reconciliator latencies ";0
211042;"associateProfessor";"subtends misappropriations turndowns ";0
211043;"assistantProfessor";"baying ravellings styler ";0
211051;"fullProfessor";"pargetting ";0
211052;"associateProfessor";"hellbent ";0
211053;"assistantProfessor";"redeemable roisterous ";0
211061;"fullProfessor";"privies sprinklers ";211
211062;"associateProfessor";"overmasters ";0
211063;"assistantProfessor";"methylparaben undeserved jackhammers ";0
211071;"fullProfessor";"sheerness supersaturating stationed ";0
211072;"associateProfessor";"succories ultimatums karyotype ";0
211073;"assistantProfessor";"fieldleft spectrograms ";0
211082;"associateProfessor";"courtlier recognitions ";0
211092;"associateProfessor";"overstuffed unreasonableness ";0
211102;"associateProfessor";"sportive bubbles ";0
211112;"associateProfessor";"statist specialist ";0
211122;"associateProfessor";"zunis roundness ";0
212001;"fullProfessor";"bawdiest spiffy ";0
212002;"associateProfessor";"rehabilitating courthouses unjoined ";0
212003;"assistantProfessor";"collating ";0
212011;"fullProfessor";"tenaciously ";0
212012;"associateProfessor";"chapmen ";0
212013;"assistantProfessor";"reclassifications squirmers ";0
212021;"fullProfessor";"deceptions ";0
212022;"associateProfessor";"quaverers ";0
212023;"assistantProfessor";"calumniator blueprinted ";0
212031;"fullProfessor";"microprocessing rottener ";0
212032;"associateProfessor";"cists tokenisms ";0
212033;"assistantProfessor";"babying ";0
212041;"fullProfessor";"mistrustfully retaliator vernalizing ";212
212042;"associateProfessor";"cringing ";0
212043;"assistantProfessor";"supinated ";0
212051;"fullProfessor";"fellers ";0
212052;"associateProfessor";"thinclad ";0
212053;"assistantProfessor";"bowings cervical ";0
212061;"fullProfessor";"egotistic nonadministratively ";0
212062;"associateProfessor";"faculties seaports deism ";0
212063;"assistantProfessor";"borings aerier ";0
212071;"fullProfessor";"uncoagulated ";0
212072;"associateProfessor";"cellaret reexamines episcopacies ";0
212073;"assistantProfessor";"mistakenly frenetics promptbooks ";0
212081;"fullProfessor";"joyfullest tads dropsied ";0
212082;"associateProfessor";"discoveries mindlessly ";0
212083;"assistantProfessor";"crossbreeds oafishness ";0
212092;"associateProfessor";"fakeer recoveries ";0
212093;"assistantProfessor";"portaging brining ";0
212102;"associateProfessor";"arachnoid ";0
212103;"assistantProfessor";"intercalates ";0
212112;"associateProfessor";"hackbut sanatory disposers ";0
212122;"associateProfessor";"sapsuckers acceptee ";0
212132;"associateProfessor";"burgundies ";0
213001;"fullProfessor";"perjuries laky ";0
213002;"associateProfessor";"moneybag nutmegs brandishes ";0
213003;"assistantProfessor";"rimmer obtainer ";0
213011;"fullProfessor";"dissonantly datable spoonerism ";0
213012;"associateProfessor";"flunker viewing pinocchio ";0
213013;"assistantProfessor";"wrongness readjourn burbly ";0
213021;"fullProfessor";"attorneys ";0
213022;"associateProfessor";"linchpin ";0
213023;"assistantProfessor";"guided indecency ";0
213031;"fullProfessor";"positiveness guiles inclosed ";0
213032;"associateProfessor";"monetizes preconception ";0
213033;"assistantProfessor";"girlfriend footrace ";0
213041;"fullProfessor";"whaleboats somatically ";0
213042;"associateProfessor";"pedophile ";0
213043;"assistantProfessor";"brokenly ";0
213051;"fullProfessor";"assorter benzin ";0
213052;"associateProfessor";"turnkeys vagrancies ";0
213053;"assistantProfessor";"gargoyles ";0
213061;"fullProfessor";"puss ";0
213062;"associateProfessor";"theorising exactly unstop ";0
213063;"assistantProfessor";"th ";0
213071;"fullProfessor";"lengthener circled ";213
213072;"associateProfessor";"emotionalize constipated jammer ";0
213073;"assistantProfessor";"damnable afterimages osculate ";0
213081;"fullProfessor";"refiners retoucher ";0
213082;"associateProfessor";"portraitist unlooked bugs ";0
213083;"assistantProfessor";"dosages ";0
213091;"fullProfessor";"tiaras unremitting rebury ";0
213092;"associateProfessor";"slaps ";0
213093;"assistantProfessor";"monopolizes ";0
213102;"associateProfessor";"westing undemocratically ";0
213103;"assistantProfessor";"negotiation jungles ";0
214001;"fullProfessor";"viands recoilless misdoes ";0
214002;"associateProfessor";"sulfas weirdos nullity ";0
214003;"assistantProfessor";"finely ergo ";0
214011;"fullProfessor";"drizzled priviest ";0
214012;"associateProfessor";"globs subfractions ";0
214013;"assistantProfessor";"dewiness ";0
214021;"fullProfessor";"weaved ";0
214022;"associateProfessor";"jordans ";0
214023;"assistantProfessor";"incarnadining exciters ";0
214031;"fullProfessor";"joying ";0
214032;"associateProfessor";"percussionists precognition debauchee ";0
214033;"assistantProfessor";"solicitors calved neocolonialists ";0
214041;"fullProfessor";"overplaying ";0
214042;"associateProfessor";"panicles ";0
214043;"assistantProfessor";"edges harpoons minuteness ";0
214051;"fullProfessor";"cyclonal debonairly draggling ";0
214052;"associateProfessor";"browner enthuse ";0
214053;"assistantProfessor";"cubicity ";0
214061;"fullProfessor";"reclaim caroling ";214
214062;"associateProfessor";"housemaster strep ";0
214063;"assistantProfessor";"ashless suppleness scalloping ";0
214071;"fullProfessor";"preblesses uncompetitive ";0
214072;"associateProfessor";"wonton underwrote sparkers ";0
214073;"assistantProfessor";"languishes ";0
214082;"associateProfessor";"antihypertensives statesmanship ";0
214083;"assistantProfessor";"emotionlessness freeholders ";0
214092;"associateProfessor";"comedos tuberculous louisianan ";0
214093;"assistantProfessor";"potboiled enamors retirees ";0
214102;"associateProfessor";"welcher ";0
214112;"associateProfessor";"headnotes gratae flus ";0
214122;"associateProfessor";"trichlorethylenes gnawing zoopathology ";0
214132;"associateProfessor";"macaroon phalange ";0
215001;"fullProfessor";"univocals ebonites ";0
215002;"associateProfessor";"signories ";0
215003;"assistantProfessor";"deportees ";0
215011;"fullProfessor";"volunteered allayers dotingly ";0
215012;"associateProfessor";"brasserie ";0
215013;"assistantProfessor";"eventuates ";0
215021;"fullProfessor";"sellable threats recolonize ";215
215022;"associateProfessor";"gardeners ";0
215023;"assistantProfessor";"jibes prefaced tankfuls ";0
215031;"fullProfessor";"unindorsed tabulable osmoses ";0
215032;"associateProfessor";"prefixally approaching ";0
215033;"assistantProfessor";"lumper weathered ";0
215041;"fullProfessor";"subatomic phalli ";0
215042;"associateProfessor";"unlabelled lovably foreseeing ";0
215043;"assistantProfessor";"stacking ";0
215051;"fullProfessor";"diagnostically reseeding ";0
215052;"associateProfessor";"snouted ";0
215053;"assistantProfessor";"swindled catamaran ";0
215061;"fullProfessor";"encode raises ";0
215062;"associateProfessor";"valuta ";0
215063;"assistantProfessor";"revolved paps ";0
215072;"associateProfessor";"infos ";0
215073;"assistantProfessor";"mannerless ";0
215082;"associateProfessor";"fastbacks abnormality ";0
215083;"assistantProfessor";"spikiest disillusionment mountaintops ";0
215092;"associateProfessor";"leaks ";0
